journal,indexation,publication,doi,titre,chercheurs,laboratoires,abstract,keywords
"TEI '24: Proceedings of the Eighteenth International Conference on Tangible, Embedded, and Embodied Interaction",ACM,,https://doi.org/10.1145/3623509.3633370,Embodied Machine Learning,,,"Machine learning becomes more prevalent in specialized domains such as medicine and biology every year, but domain expert trust in machine learning continues to lag behind. Researchers have explored increasing rational trust in AI but little research ...",
ICMLT '24: Proceedings of the 2024 9th International Conference on Machine Learning Technologies,ACM,,https://doi.org/10.1145/3674029.3674033,Diabetes Prediction Using Machine Learning,,,"Machine learning (ML) techniques for healthcare informatics provide health professional insight into disease development. Many healthcare topics are suitable for ML research, such as diabetes prediction and classification. Common ML approaches use a ...",
ICDCN '24: Proceedings of the 25th International Conference on Distributed Computing and Networking,ACM,,https://doi.org/10.1145/3631461.3632516,Distributed Machine Learning,,,"We explore the landscape of distributed machine learning, focusing on advancements, challenges, and potential future directions in this rapidly evolving field. We delve into the motivation for distributed machine learning, its essential techniques, real-...",
ACM REP '24: Proceedings of the 2nd ACM Conference on Reproducibility and Replicability,ACM,,https://doi.org/10.1145/3641525.3663630,The Idealized Machine Learning Pipeline (IMLP) for Advancing Reproducibility in Machine Learning,,,"We investigate the influence of Human Factors on reproducible machine learning, using a novel “Idealized Machine Learning Pipeline” we introduce as a conceptual framework. The study of Human Factors seeks to ensure that systems meet the needs and ...",
MLCAD '24: Proceedings of the 2024 ACM/IEEE International Symposium on Machine Learning for CAD,ACM,,https://doi.org/10.1145/3670474.3685973,Machine Learning for High Sigma Analog Designs (Invited),,,"Monte Carlo simulations have been the gold standard for assessing parametric yields of analog, mixed signal, and RF circuits as they offer one of the most direct representations of the variation induced by semiconductor manufacturing. However, Monte ...",
"ACM Transactions on Asian and Low-Resource Language Information Processing (TALLIP), Just Accepted",ACM,,https://doi.org/10.1145/3701031,Overview of Multimodal Machine Learning,,,"Human nature is fundamentally driven by the need for interaction and attention, which are fulfilled through various sensory modalities, including hearing, sight, touch, taste, and smell. These senses enable us to perceive, understand, and engage with the ...",
KDD '24: Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,ACM,,https://doi.org/10.1145/3637528.3671488,Machine Learning in Finance,,,"This workshop aims to explore the intersection of Generative AI with the rich tapestry of financial data types, seeking to uncover new methodologies and techniques that can enhance predictive analytics, fraud detection, and customer insights across the ...",
"ACM Computing Surveys (CSUR), Volume 56, Issue 7",ACM,,https://doi.org/10.1145/3616537,Byzantine Machine Learning: A Primer,,,"The problem of Byzantine resilience in distributed machine learning, a.k.a. Byzantine machine learning, consists of designing distributed algorithms that can train an accurate model despite the presence of Byzantine nodes—that is, nodes with corrupt data ...",
CIKM '24: Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,ACM,,https://doi.org/10.1145/3627673.3679095,Data Quality-aware Graph Machine Learning,,,"Recent years have seen a significant shift in Artificial Intelligence from model-centric to data-centric approaches, highlighted by the success of large foundational models. Following this trend, despite numerous innovations in graph machine learning ...",
"Communications of the ACM (CACM), Volume 67, Issue 11",ACM,,https://doi.org/10.1145/3643456,Pitfalls in Machine Learning for Computer Security,,,"With the growing processing power of computing systems and the increasing availability of massive datasets, machine learning algorithms have led to major breakthroughs in many different areas. This development has influenced computer security, spawning a ...",
